frame_id,ts_ns,e2e_ms,pre_ms,inf_ms,post_ms,host_overhead_ms,valid,occluded_count,depth_invalid_ratio,constraint_reason,box_conf
171,1776496372616091000,17.904,0.95,8.329,8.161,0.464,1,0,0.0,,0.954
172,1776496372649388000,17.97,1.488,8.464,7.391,0.628,1,0,0.0,,0.954
173,1776496372666053000,18.041,1.359,8.567,7.559,0.556,1,0,0.0,,0.954
174,1776496372691054000,17.591,1.365,8.611,6.966,0.649,1,0,0.0,,0.954
175,1776496372707718000,18.839,1.096,9.644,6.542,1.557,1,0,0.0,,0.956
175,1776496372707718000,17.656,1.206,11.07,4.833,0.548,1,0,0.0,,0.956
176,1776496372732715000,19.896,1.867,10.757,6.761,0.511,1,0,0.0,,0.952
177,1776496372757718000,20.077,1.523,10.274,7.741,0.539,1,0,0.0,,0.954
178,1776496372774383000,21.777,1.827,11.913,7.318,0.718,1,0,0.0,,0.953
179,1776496372799384000,20.283,1.624,11.344,6.565,0.75,1,0,0.0,,0.954
180,1776496372824380000,23.902,1.904,11.432,8.472,2.095,1,0,0.0,,0.956
181,1776496372841062000,20.705,2.276,11.235,6.618,0.575,1,0,0.0,,0.953
182,1776496372866047000,18.332,1.607,11.023,5.075,0.627,1,0,0.0,,0.953
183,1776496372882750000,19.858,1.184,10.705,7.406,0.563,1,0,0.0,,0.956
184,1776496372907725000,18.803,1.859,10.521,5.807,0.616,1,0,0.0,,0.954
185,1776496372932711000,18.013,0.954,8.994,7.648,0.417,1,0,0.0,,0.956
186,1776496372957700000,15.667,0.904,8.279,6.0,0.483,1,0,0.0,,0.955
187,1776496372982715000,19.588,1.904,8.7,7.968,1.017,1,0,0.0,,0.954
187,1776496372982715000,17.775,0.986,10.845,5.348,0.596,1,0,0.0,,0.954
188,1776496372999384000,19.274,1.236,10.648,6.967,0.422,1,0,0.0,,0.954
189,1776496373024378000,22.282,0.904,8.894,11.299,1.185,1,0,0.0,,0.957
190,1776496373049377000,21.947,2.086,10.893,7.203,1.765,1,0,0.0,,0.953
191,1776496373074380000,19.242,0.911,8.26,8.046,2.024,1,0,0.0,,0.955
192,1776496373107748000,24.819,1.167,9.549,13.397,0.706,1,0,0.0,,0.954
193,1776496373124418000,18.89,1.148,9.331,7.628,0.783,1,0,0.0,,0.955
194,1776496373149404000,16.403,0.897,8.353,6.667,0.485,1,0,0.0,,0.954
195,1776496373174704000,18.854,1.664,8.764,7.924,0.502,1,0,0.0,,0.954
195,1776496373174704000,18.625,1.227,10.538,6.067,0.793,1,0,0.0,,0.954
196,1776496373199384000,19.715,2.033,8.461,7.987,1.235,1,0,0.0,,0.957
197,1776496373224382000,17.714,0.977,8.986,7.295,0.456,1,0,0.0,,0.954
198,1776496373249388000,19.671,0.993,8.471,9.318,0.889,1,0,0.0,,0.954
199,1776496373274383000,21.34,1.074,10.316,7.574,2.377,1,0,0.0,,0.952
200,1776496373291054000,23.848,2.218,13.322,7.819,0.488,1,0,0.0,,0.953
201,1776496373316081000,23.428,0.97,8.852,13.146,0.459,1,0,0.0,,0.955
202,1776496373341054000,18.425,0.965,8.902,7.714,0.845,1,0,0.0,,0.955
203,1776496373366058000,20.096,0.974,9.015,9.367,0.74,1,0,0.0,,0.956
204,1776496373382746000,21.071,1.337,8.562,9.155,2.016,1,0,0.0,,0.955
205,1776496373407731000,20.435,1.065,9.236,9.057,1.077,1,0,0.0,,0.954
206,1776496373432748000,16.453,0.922,8.542,6.375,0.614,1,0,0.0,,0.955
207,1776496373449432000,19.375,1.099,9.647,7.062,1.567,1,0,0.0,,0.954
207,1776496373449432000,18.109,1.266,10.964,5.338,0.542,1,0,0.0,,0.954
208,1776496373474404000,19.454,2.048,10.533,6.447,0.425,1,0,0.0,,0.955
209,1776496373499391000,19.057,0.923,8.964,8.296,0.874,1,0,0.0,,0.957
210,1776496373524390000,19.731,0.933,8.916,9.053,0.829,1,0,0.0,,0.956
211,1776496373557731000,18.15,0.891,9.02,7.789,0.449,1,0,0.0,,0.954
212,1776496373574401000,22.825,0.932,8.923,12.553,0.416,1,0,0.0,,0.954
213,1776496373591069000,17.713,0.967,8.953,7.275,0.518,1,0,0.0,,0.956
214,1776496373616071000,18.647,1.058,9.056,7.327,1.207,1,0,0.0,,0.952
215,1776496373632746000,17.929,0.902,8.929,7.255,0.843,1,0,0.0,,0.953
216,1776496373657726000,22.183,1.409,13.097,7.152,0.524,1,0,0.0,,0.954
